epoch_train_per_image_iou,epoch_train_dataset_iou,epoch_train_per_image_sensitivity,epoch_train_dataset_sensitivity,epoch_train_per_image_specificity,epoch_train_dataset_specificity,epoch_train_per_image_f1,epoch_train_dataset_f1,epoch_avg_loss_train,model,repet,kfolditer
0.27505287528038025,0.8025630712509155,0.29160311818122864,0.9095149040222168,0.3230386972427368,0.9816586971282959,0.2852543890476227,0.8878092765808105,0.09348967671394348,deeplabv3+_256x256_pngs_preproc,3,0
0.2989513874053955,0.9404734373092651,0.3097880780696869,0.9647712707519531,0.3275793492794037,0.9921776056289673,0.3063124716281891,0.9691235423088074,0.030497197061777115,deeplabv3+_256x256_pngs_preproc,3,0
0.3012748658657074,0.949472188949585,0.3131028413772583,0.9705960154533386,0.3284696042537689,0.9933776259422302,0.3081742823123932,0.973939061164856,0.02482016198337078,deeplabv3+_256x256_pngs_preproc,3,0
0.3038600981235504,0.9533374309539795,0.3144943118095398,0.9728416204452515,0.3287848234176636,0.9937800168991089,0.3104674518108368,0.9759910106658936,0.023211769759655,deeplabv3+_256x256_pngs_preproc,3,0
0.3070913851261139,0.9603031277656555,0.317087322473526,0.9774746894836426,0.3293994665145874,0.9947295188903809,0.31313344836235046,0.9796637892723083,0.0192859023809433,deeplabv3+_256x256_pngs_preproc,3,0
0.27369678020477295,0.8050893545150757,0.2911792993545532,0.9095757603645325,0.3231140971183777,0.9815346002578735,0.28424087166786194,0.8894833326339722,0.09251617640256882,deeplabv3+_256x256_pngs_preproc,3,2
0.2975611984729767,0.9364138841629028,0.3094240725040436,0.9616976976394653,0.3275568187236786,0.9913533926010132,0.305417537689209,0.9669336676597595,0.03192480653524399,deeplabv3+_256x256_pngs_preproc,3,2
0.30056771636009216,0.9435708522796631,0.31224536895751953,0.9667754173278809,0.32832953333854675,0.9925869107246399,0.30789923667907715,0.9707872867584229,0.027795979753136635,deeplabv3+_256x256_pngs_preproc,3,2
0.30394238233566284,0.9525330066680908,0.3150627315044403,0.9724227786064148,0.3289617598056793,0.9936090707778931,0.3106873333454132,0.975566029548645,0.02296479232609272,deeplabv3+_256x256_pngs_preproc,3,2
0.30591246485710144,0.95755934715271,0.31625744700431824,0.9759459495544434,0.32927775382995605,0.9943728446960449,0.3121742010116577,0.9782217144966125,0.020440008491277695,deeplabv3+_256x256_pngs_preproc,3,2
0.276498407125473,0.8244019746780396,0.2915589511394501,0.9115512371063232,0.3233982026576996,0.9829479455947876,0.28617867827415466,0.9017232656478882,0.08765505254268646,deeplabv3+_256x256_pngs_preproc,3,4
0.29741281270980835,0.934292733669281,0.30916765332221985,0.9605005979537964,0.32746994495391846,0.9914155602455139,0.3049822449684143,0.9657833576202393,0.03315954655408859,deeplabv3+_256x256_pngs_preproc,3,4
0.2999841868877411,0.9424811601638794,0.3112904131412506,0.9664170742034912,0.32817837595939636,0.9927677512168884,0.3068958818912506,0.9702012538909912,0.028294194489717484,deeplabv3+_256x256_pngs_preproc,3,4
0.3041934669017792,0.9523780345916748,0.3146326243877411,0.9728076457977295,0.32888224720954895,0.9938457608222961,0.31067678332328796,0.975482702255249,0.023208048194646835,deeplabv3+_256x256_pngs_preproc,3,4
